[INFO ] 2021-05-10 11:02:57.873 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:03:20.401 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:04:00.531 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:05:44.324 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:05:51.464 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:09:26.088 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:09:44.620 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:10:05.886 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:10:20.567 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:10:51.754 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:11:18.493 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:11:27.034 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:14:04.733 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:15:16.364 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:19:04.591 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:19:17.365 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:19:36.758 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:19:51.726 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:20:36.475 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:20:47.661 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:20:53.144 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:21:08.854 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:23:19.266 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
